Date,Effort,Developers,Milestones
18/02,30m,SF,DefineInitialMilestones 
25/02,?,ALL,FinishLabExercises
22/02,3h,NG,WriteLexerTokens
23/02,1.5h,NG,WriteLexerTypedefs
26/02,1.5h,NG,AddParserRules
27/02,3h,NG,AddParserASTSupport
27/02,2.5h,NG,CreateAST
28/02,2h,NG,CreateAST
28/02,3h,NG,PrintFunctionForNodes
01/03,3h,SF,DebugLexer
02/03,4h,SF,CreateAST
03/03,2h,SF,MakeOverheadInfrastructure
04/03,1h,SF,MakeOverheadInfrastructure
04/03,6h,NG,CreateAST
06/03,9h,SF,CtoPython
06/03,3h,NG,MipsContext
07/03,6h,SF,CtoPython
09/03,2h,SF,MakeTestSuite
09/03,2h,SF,CreateTestCasesTestSuite
11/03,2h,SF,CtoPythonDebugging
11/03,3h,NG,MipsContext
15/03,2h,NG,MipsContext
16/03,2h,SF,MipsExpressions
16/03,4h,NG,MipsOverhead
17/03,4h,NG,MipsOverhead
17/03,5h,SF,MipsExpressions
18/03,7h,NG,MipsOverhead
18/03,3h,SF,CtoPythonDebugging
19/03,6h,NG,MipsStatements
19/03,2h,SF,MipsExpressions
20/03,4h,NG,MipsStatements
20/03,3h,SF,MipsExpressions
20/03,2h,SF,MipsBranches
21/03,2h,NG,MipsOverhead
21/03,3h,NG,MipsStatements
21/03,2h,NG,MipsExpressions
22/03,3h,NG,MipsStatements  
22/03,3h,SF,MakeAdditionalTestCases
22/03,0.5h,ALL,Submissions
